iter	Passed	Remaining
823	3989	852
824	3993	847
825	3998	842
826	4003	837
827	4008	832
828	4012	827
829	4016	822
830	4021	817
831	4027	813
832	4031	808
833	4036	803
834	4040	798
835	4044	793
836	4049	788
837	4054	783
838	4059	778
839	4064	774
840	4069	769
841	4073	764
842	4077	759
843	4082	754
844	4086	749
845	4091	744
846	4095	739
847	4099	734
848	4104	729
849	4108	725
850	4113	720
851	4118	715
852	4123	710
853	4127	705
854	4131	700
855	4136	695
856	4141	691
857	4145	686
858	4151	681
859	4156	676
860	4160	671
861	4165	666
862	4169	661
863	4174	657
864	4178	652
865	4182	647
866	4187	642
867	4191	637
868	4195	632
869	4200	627
870	4204	622
871	4210	618
872	4215	613
873	4219	608
874	4224	603
875	4229	598
876	4234	593
877	4239	589
878	4244	584
879	4248	579
880	4253	574
881	4258	569
882	4262	564
883	4267	559
884	4271	555
885	4277	550
886	4282	545
887	4287	540
888	4291	535
889	4296	530
890	4300	526
891	4305	521
892	4309	516
893	4315	511
894	4320	506
895	4325	502
896	4329	497
897	4333	492
898	4338	487
899	4344	482
900	4349	477
901	4353	473
902	4358	468
903	4362	463
904	4367	458
905	4371	453
906	4375	448
907	4379	443
908	4384	438
909	4388	434
910	4393	429
911	4398	424
912	4402	419
913	4406	414
914	4411	409
915	4417	405
916	4421	400
917	4427	395
918	4431	390
919	4436	385
920	4440	380
921	4445	376
922	4449	371
923	4454	366
924	4460	361
925	4465	356
926	4469	351
927	4473	347
928	4478	342
929	4482	337
930	4487	332
931	4491	327
932	4496	322
933	4500	318
934	4505	313
935	4511	308
936	4515	303
937	4520	298
938	4524	293
939	4529	289
940	4533	284
941	4538	279
942	4543	274
943	4548	269
944	4553	264
945	4557	260
946	4561	255
947	4566	250
948	4570	245
949	4575	240
950	4579	235
951	4585	231
952	4589	226
953	4593	221
954	4598	216
955	4603	211
956	4607	207
957	4611	202
958	4616	197
959	4620	192
960	4625	187
961	4629	182
962	4633	178
963	4638	173
964	4642	168
965	4647	163
966	4652	158
967	4656	153
968	4661	149
969	4665	144
970	4669	139
971	4674	134
972	4679	129
973	4683	125
974	4687	120
975	4692	115
976	4696	110
977	4702	105
978	4707	100
979	4711	96
980	4716	91
981	4721	86
982	4725	81
983	4729	76
984	4734	72
985	4738	67
986	4742	62
987	4746	57
988	4751	52
989	4755	48
990	4759	43
991	4764	38
992	4768	33
993	4774	28
994	4778	24
995	4783	19
996	4788	14
997	4792	9
998	4797	4
999	4801	0
